year,month,day,team_1_code,team_2_code,team_1_goals,team_2_goals,tournament_code,host_code,team_1_rating_change,team_1_rating,team_2_rating,team_1_rank_change,team_2_rank_change,team_1_rank,team_2_rank,match_date,extracted_at,source
2026,3,27,ZA,PA,1,1,F,,3,1531,1730,−1,−3,79,41,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,ES,RS,3,0,F,,2,2174,1766,0,0,1,30,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,27,CH,DE,3,4,F,,-12,1885,1922,−1,+1,14,11,2026-03-27,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,BO,SR,2,1,WQ,MX,9,1670,1431,+1,0,51,91,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,JM,NC,1,0,WQ,MX,8,1550,1286,+1,−3,73,143,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,AI,BS,3,1,CFS,KY,27,672,692,+2,−4,226,221,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,BQ,VC,3,1,CFS,,36,858,1135,+5,−4,203,166,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,KY,VG,1,1,CFS,,-8,798,701,0,+2,209,219,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,CU,MQ,2,2,CFS,DO,4,1233,1327,0,−2,153,128,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,DO,SV,2,2,CFS,,-3,1290,1327,−1,+2,142,128,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,MF,BB,3,1,CFS,BQ,17,1020,904,+5,−3,181,199,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,CZ,IE,2,2,WQ,,-8,1723,1696,−4,+1,42,48,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,DK,NM,4,0,WQ,,8,1872,1584,+1,−3,17,67,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,IT,EI,2,0,WQ,,7,1866,1596,0,0,19,63,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,PL,AL,2,1,WQ,,11,1746,1653,+1,−3,35,54,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,SK,KO,3,4,WQ,,-24,1663,1738,−2,+7,52,37,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,SE,UA,3,1,WQ,ES,42,1702,1760,+7,−6,46,32,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,TR,RO,1,0,WQ,,5,1885,1637,0,−1,15,57,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,WA,BA,1,1,WQ,,-12,1703,1584,−3,+2,45,67,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,GI,LV,0,1,ECD,,-11,1006,1297,−2,+5,184,138,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,MT,LU,0,2,ECD,,-29,1249,1424,−4,+9,149,94,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
2026,3,26,LS,SC,0,0,FQ,ZA,-16,1200,858,−2,+1,158,203,2026-03-26,2026-05-25T21:23:50,https://www.eloratings.net/latest.tsv
